domain,label
840608464648.cmd-control.net,c2
42288648602626.node-manager.org,c2
8086226660.node-manager.org,c2
840260644202.cmd-control.net,c2
4448484020.node-manager.org,c2
0424068800.update-server.com,c2
4826600820.cmd-control.net,c2
004024424404.cmd-control.net,c2
6246064686.node-manager.org,c2
44282246000002.update-server.com,c2
60284660884004.cmd-control.net,c2
80048462064068.node-manager.org,c2
44666068860624.cmd-control.net,c2
66086484482284.update-server.com,c2
406082086048.node-manager.org,c2
8866064848.node-manager.org,c2
60646200864844.cmd-control.net,c2
06406222446284.cmd-control.net,c2
268082644026.cmd-control.net,c2
62448686864006.cmd-control.net,c2
20086400082046.update-server.com,c2
2840640282.update-server.com,c2
2408286686.node-manager.org,c2
08024686088022.update-server.com,c2
864020664886.update-server.com,c2
800444600402.cmd-control.net,c2
044866826260.update-server.com,c2
24280424028222.update-server.com,c2
6002408622.cmd-control.net,c2
666002062020.node-manager.org,c2
864062222646.node-manager.org,c2
46002866802086.update-server.com,c2
288466402622.cmd-control.net,c2
2084806648.cmd-control.net,c2
6486068244.update-server.com,c2
826022228444.cmd-control.net,c2
8826260662.update-server.com,c2
2224404846.cmd-control.net,c2
88620464684444.cmd-control.net,c2
484204642800.cmd-control.net,c2
6628822668.update-server.com,c2
082046402602.cmd-control.net,c2
2420808000.cmd-control.net,c2
24824024224404.cmd-control.net,c2
84242682268888.cmd-control.net,c2
6600084422.update-server.com,c2
4028020802.node-manager.org,c2
4648286640.node-manager.org,c2
44224268864848.node-manager.org,c2
00466248640468.cmd-control.net,c2
860040844664.node-manager.org,c2
40206822082460.node-manager.org,c2
4846080424.update-server.com,c2
000486404426.node-manager.org,c2
20226844666462.update-server.com,c2
62006042204882.update-server.com,c2
28608466826828.cmd-control.net,c2
6686482244.update-server.com,c2
8686684448.node-manager.org,c2
022644426484.update-server.com,c2
646006224284.update-server.com,c2
6288466084.update-server.com,c2
822400884062.cmd-control.net,c2
00448264080866.update-server.com,c2
4846622642.update-server.com,c2
086008868040.update-server.com,c2
02666662488840.cmd-control.net,c2
4828606662.cmd-control.net,c2
86488080286604.cmd-control.net,c2
266866824846.update-server.com,c2
406080824080.update-server.com,c2
0800220426.cmd-control.net,c2
460088400222.update-server.com,c2
28260062208026.update-server.com,c2
480642846220.node-manager.org,c2
040206664224.cmd-control.net,c2
4004202468.update-server.com,c2
6064466608.update-server.com,c2
84202466484044.node-manager.org,c2
4446060448.cmd-control.net,c2
28440624640682.update-server.com,c2
4806828006.node-manager.org,c2
466844442088.cmd-control.net,c2
