domain,label
ypmrotilc.com,1
exsxgdwdg.tk,1
ozydalmve.pages.dev,1
ebininuly.com,1
obghopyfc.com,1
otipuvmxy.tk,1
gbknapgvy.pages.dev,1
wnwrcpylm.com,1
qrmxsngpw.tk,1
khcjunupg.com,1
sdgvqhqvu.tk,1
sdefsfelk.tk,1
cdgjgniji.com,1
efgdatszy.pages.dev,1
snarabojw.tk,1
yjwtqtsfw.tk,1
efqtkrwti.com,1
szqtqbmda.com,1
gpejajglw.tk,1
yruxmbsjy.com,1
gjmzelmjy.com,1
irunmpmfk.tk,1
wxuruxcnm.com,1
mdydyfcte.tk,1
mrmnmdsrw.tk,1
spyhiboru.pages.dev,1
cjehcxgxs.tk,1
wbkfazytm.com,1
afuhcfitu.pages.dev,1
czkvibufw.tk,1
cjsvetwfe.tk,1
ebmhofkjc.com,1
uxypcvmtu.pages.dev,1
cfkroholw.tk,1
iluxedcla.tk,1
ubwfixwxi.tk,1
gxsnstqpy.tk,1
cjwjcnkdq.com,1
wfgporqdo.pages.dev,1
qjslujwli.pages.dev,1
enahmvqra.tk,1
apczaxgve.com,1
obqtkdkfy.pages.dev,1
ojsfevujo.tk,1
kzujqviry.tk,1
uvkvmfqhu.tk,1
ydypijmvi.tk,1
cpejydipg.tk,1
gfgnufubs.tk,1
yrqzqjchu.pages.dev,1
onmhupujg.pages.dev,1
kbcfwpkrk.com,1
azghepyha.tk,1
qtizijynu.com,1
cdkhadati.pages.dev,1
mdipaxezo.com,1
chevmxsdw.pages.dev,1
kxyzgbafe.com,1
kvqxkdkjq.pages.dev,1
ahcpkhepi.com,1
ajwnilqzk.com,1
efwjahuba.tk,1
iporcrypk.com,1
ynsxubebo.tk,1
cnybcjqve.com,1
ityvcruxc.tk,1
stqpmnwje.com,1
yvilujqbw.pages.dev,1
evodgrkve.com,1
gvgtgzkvm.tk,1
gpelytgvo.tk,1
kzcnqhudq.com,1
whwrotsvy.tk,1
ipuhojkxc.tk,1
kzsrybuvq.pages.dev,1
cfupqxuhk.com,1
gnodszari.com,1
wfkterqra.pages.dev,1
adidmfudm.tk,1
ilspazkbg.pages.dev,1
upyhupujc.tk,1
szwriluxm.tk,1
izkfglmxq.com,1
otupmnqvi.tk,1
mvajonali.com,1
cpenevivk.tk,1
ybmxeviji.tk,1
anilgzsni.pages.dev,1
wzgfovydu.pages.dev,1
obytcjszy.tk,1
yhahwdszw.tk,1
efulyhebq.com,1
epajwnudm.pages.dev,1
mxobkvoxe.tk,1
ivwxyvcpo.tk,1
cxyhifmte.tk,1
