domain,label
ypmrotilc.com,dga
exsxgdwdg.tk,dga
ozydalmve.pages.dev,dga
ebininuly.com,dga
obghopyfc.com,dga
otipuvmxy.tk,dga
gbknapgvy.pages.dev,dga
wnwrcpylm.com,dga
qrmxsngpw.tk,dga
khcjunupg.com,dga
sdgvqhqvu.tk,dga
sdefsfelk.tk,dga
cdgjgniji.com,dga
efgdatszy.pages.dev,dga
snarabojw.tk,dga
yjwtqtsfw.tk,dga
efqtkrwti.com,dga
szqtqbmda.com,dga
gpejajglw.tk,dga
yruxmbsjy.com,dga
gjmzelmjy.com,dga
irunmpmfk.tk,dga
wxuruxcnm.com,dga
mdydyfcte.tk,dga
mrmnmdsrw.tk,dga
spyhiboru.pages.dev,dga
cjehcxgxs.tk,dga
wbkfazytm.com,dga
afuhcfitu.pages.dev,dga
czkvibufw.tk,dga
cjsvetwfe.tk,dga
ebmhofkjc.com,dga
uxypcvmtu.pages.dev,dga
cfkroholw.tk,dga
iluxedcla.tk,dga
ubwfixwxi.tk,dga
gxsnstqpy.tk,dga
cjwjcnkdq.com,dga
wfgporqdo.pages.dev,dga
qjslujwli.pages.dev,dga
enahmvqra.tk,dga
apczaxgve.com,dga
obqtkdkfy.pages.dev,dga
ojsfevujo.tk,dga
kzujqviry.tk,dga
uvkvmfqhu.tk,dga
ydypijmvi.tk,dga
cpejydipg.tk,dga
gfgnufubs.tk,dga
yrqzqjchu.pages.dev,dga
onmhupujg.pages.dev,dga
kbcfwpkrk.com,dga
azghepyha.tk,dga
qtizijynu.com,dga
cdkhadati.pages.dev,dga
mdipaxezo.com,dga
chevmxsdw.pages.dev,dga
kxyzgbafe.com,dga
kvqxkdkjq.pages.dev,dga
ahcpkhepi.com,dga
ajwnilqzk.com,dga
efwjahuba.tk,dga
iporcrypk.com,dga
ynsxubebo.tk,dga
cnybcjqve.com,dga
ityvcruxc.tk,dga
stqpmnwje.com,dga
yvilujqbw.pages.dev,dga
evodgrkve.com,dga
gvgtgzkvm.tk,dga
gpelytgvo.tk,dga
kzcnqhudq.com,dga
whwrotsvy.tk,dga
ipuhojkxc.tk,dga
kzsrybuvq.pages.dev,dga
cfupqxuhk.com,dga
gnodszari.com,dga
wfkterqra.pages.dev,dga
adidmfudm.tk,dga
ilspazkbg.pages.dev,dga
upyhupujc.tk,dga
szwriluxm.tk,dga
izkfglmxq.com,dga
otupmnqvi.tk,dga
mvajonali.com,dga
cpenevivk.tk,dga
ybmxeviji.tk,dga
anilgzsni.pages.dev,dga
wzgfovydu.pages.dev,dga
obytcjszy.tk,dga
yhahwdszw.tk,dga
efulyhebq.com,dga
epajwnudm.pages.dev,dga
mxobkvoxe.tk,dga
ivwxyvcpo.tk,dga
cxyhifmte.tk,dga
atafglojs.pages.dev,dga
ojuvotmte.tk,dga
