domain,label
clyzsp6bcd63kt6ncx6n4xi78pi.brazilsouth.cloudapp.azure.com,1
kla7gxmrk1enkpmv0pejcta3k1ufc5ez0tez0dmrcd6709engx.brazilsouth.cloudapp.azure.com,1
jkd23kp6fotqrwxin0pezohmvota34d6rw1qr8duf.brazilsouth.cloudapp.azure.com,1
h6n4te7c5ejwxez0d6bo9mvs9ijw1uzkl.brazilsouth.cloudapp.azure.com,1
7s5ezsd27slyzolmnolmns1ibwx2v8du.brazilsouth.cloudapp.azure.com,1
41qvwxqrgp670perwl6z0dy3k1mz4tevc1yr4.brazilsouth.cloudapp.azure.com,1
yvcd6j8t6309ergpqr.brazilsouth.cloudapp.azure.com,1
x23kpqzkduzklq7g1yn01i70tqb8tyz4dujcp.brazilsouth.cloudapp.azure.com,1
fkpeb8hi3cp6fkxuvodinshmj4xqjgtqnk1ij8der8pe3.brazilsouth.cloudapp.azure.com,1
1un85ujwxmr8luf0haj89yv0hins5irsdu7.brazilsouth.cloudapp.azure.com,1
9a7opu78xars9m7wdu7812rkhiv4xens1arkd.brazilsouth.cloudapp.azure.com,1
70ti7otebo9az8ly38xmzslij8l2nc12.brazilsouth.cloudapp.azure.com,1
kx2n0pqv412j85ejgpejctyzg9a30xm7sdq3g.brazilsouth.cloudapp.azure.com,1
238lif4t6v85ejwtizg9i78lef0hmjw1ivoxufwx6.brazilsouth.cloudapp.azure.com,1
8pinwluj4p27kt278hu7k9afw5qf45evklu7w1unk5uj4.brazilsouth.cloudapp.azure.com,1
6fs1un8ti3k9q3chmj89mbwlqnwperc9an01a7ktez.brazilsouth.cloudapp.azure.com,1
d6zs5m7gxabctingp2j0dyfcdyn4dubody3sh.brazilsouth.cloudapp.azure.com,1
zc5inwhav8lyr4xi785yv81.brazilsouth.cloudapp.azure.com,1
zslqz8dq389azg.brazilsouth.cloudapp.azure.com,1
urwlqb4teb8xaj0dqvkxqzsp6jgp.brazilsouth.cloudapp.azure.com,1
7g1ins1ujol2z.brazilsouth.cloudapp.azure.com,1
xm3kp2jsl63ct.brazilsouth.cloudapp.azure.com,1
7ktqzkxqvghib.brazilsouth.cloudapp.azure.com,1
xqbktijg1izotmr85mvw96nodm.brazilsouth.cloudapp.azure.com,1
g5if4hqbgtu7o5.brazilsouth.cloudapp.azure.com,1
b8lqbslub89i38du3kli74p6rgpivgh2fw9en45qz.brazilsouth.cloudapp.azure.com,1
luvopavc5mbsxejs.brazilsouth.cloudapp.azure.com,1
uvcli3otq345yjgd6f8penw5unstabcha74d638h6zo5u3wh.brazilsouth.cloudapp.azure.com,1
b0p6vw9u7ch6ncdir4pyzslyzc5i3k567olybkxyz01yv.brazilsouth.cloudapp.azure.com,1
9ans967892fk1en892741e3.brazilsouth.cloudapp.azure.com,1
haboxifc9uz4di7ot6nkhm.brazilsouth.cloudapp.azure.com,1
4xe7stuvwlmfc52j4da349e38lm.brazilsouth.cloudapp.azure.com,1
gxefc96f812jwpe3slabgx2nkpebglmb4dub4dq7cp6fc9un.brazilsouth.cloudapp.azure.com,1
hyr0ly74lmj8du3cxy7s5mvgtubc1ub0l2rgtqfw5q3g5q7.brazilsouth.cloudapp.azure.com,1
5urk1m74p2bodunkla38lifotufc5mv.brazilsouth.cloudapp.azure.com,1
lib4xmv8xizoxa34lej85i74danox6vkhqf09qn4hy7.brazilsouth.cloudapp.azure.com,1
d2fo1ujclavcp6zsp6z4xe7kt6n8dybc9yfwhenc5ir05y7w.brazilsouth.cloudapp.azure.com,1
ubcdivs5m3k1ezk56fcx.brazilsouth.cloudapp.azure.com,1
38xyfs5afcp6j4pujc5u7g1i7ct2.brazilsouth.cloudapp.azure.com,1
cdyb89ujwpibcpubwxyz0dmfclanwta78dyb89irshmnkdan.brazilsouth.cloudapp.azure.com,1
