domain,label
clyzsp6bcd63kt6ncx6n4xi78pi.brazilsouth.cloudapp.azure.com,dga
kla7gxmrk1enkpmv0pejcta3k1ufc5ez0tez0dmrcd6709engx.brazilsouth.cloudapp.azure.com,dga
jkd23kp6fotqrwxin0pezohmvota34d6rw1qr8duf.brazilsouth.cloudapp.azure.com,dga
h6n4te7c5ejwxez0d6bo9mvs9ijw1uzkl.brazilsouth.cloudapp.azure.com,dga
7s5ezsd27slyzolmnolmns1ibwx2v8du.brazilsouth.cloudapp.azure.com,dga
41qvwxqrgp670perwl6z0dy3k1mz4tevc1yr4.brazilsouth.cloudapp.azure.com,dga
yvcd6j8t6309ergpqr.brazilsouth.cloudapp.azure.com,dga
x23kpqzkduzklq7g1yn01i70tqb8tyz4dujcp.brazilsouth.cloudapp.azure.com,dga
fkpeb8hi3cp6fkxuvodinshmj4xqjgtqnk1ij8der8pe3.brazilsouth.cloudapp.azure.com,dga
1un85ujwxmr8luf0haj89yv0hins5irsdu7.brazilsouth.cloudapp.azure.com,dga
9a7opu78xars9m7wdu7812rkhiv4xens1arkd.brazilsouth.cloudapp.azure.com,dga
70ti7otebo9az8ly38xmzslij8l2nc12.brazilsouth.cloudapp.azure.com,dga
kx2n0pqv412j85ejgpejctyzg9a30xm7sdq3g.brazilsouth.cloudapp.azure.com,dga
238lif4t6v85ejwtizg9i78lef0hmjw1ivoxufwx6.brazilsouth.cloudapp.azure.com,dga
8pinwluj4p27kt278hu7k9afw5qf45evklu7w1unk5uj4.brazilsouth.cloudapp.azure.com,dga
6fs1un8ti3k9q3chmj89mbwlqnwperc9an01a7ktez.brazilsouth.cloudapp.azure.com,dga
d6zs5m7gxabctingp2j0dyfcdyn4dubody3sh.brazilsouth.cloudapp.azure.com,dga
zc5inwhav8lyr4xi785yv81.brazilsouth.cloudapp.azure.com,dga
zslqz8dq389azg.brazilsouth.cloudapp.azure.com,dga
urwlqb4teb8xaj0dqvkxqzsp6jgp.brazilsouth.cloudapp.azure.com,dga
7g1ins1ujol2z.brazilsouth.cloudapp.azure.com,dga
xm3kp2jsl63ct.brazilsouth.cloudapp.azure.com,dga
7ktqzkxqvghib.brazilsouth.cloudapp.azure.com,dga
xqbktijg1izotmr85mvw96nodm.brazilsouth.cloudapp.azure.com,dga
g5if4hqbgtu7o5.brazilsouth.cloudapp.azure.com,dga
b8lqbslub89i38du3kli74p6rgpivgh2fw9en45qz.brazilsouth.cloudapp.azure.com,dga
luvopavc5mbsxejs.brazilsouth.cloudapp.azure.com,dga
uvcli3otq345yjgd6f8penw5unstabcha74d638h6zo5u3wh.brazilsouth.cloudapp.azure.com,dga
b0p6vw9u7ch6ncdir4pyzslyzc5i3k567olybkxyz01yv.brazilsouth.cloudapp.azure.com,dga
9ans967892fk1en892741e3.brazilsouth.cloudapp.azure.com,dga
haboxifc9uz4di7ot6nkhm.brazilsouth.cloudapp.azure.com,dga
