domain,label
nu2wq34l.info,dga
ovimtko9825.info,dga
nwqh12.info,dga
gimvr5xkzxt.info,dga
6njfsw.info,dga
8vixtgr.info,dga
6j7n9n.info,dga
9766ir5xtmv.info,dga
n7fjuy1w.info,dga
ik45r28ot2x.info,dga
j8sujf.info,dga
8k16359mggg.info,dga
2u8123.info,dga
trk6g5k3i.info,dga
wfsnj2l728.info,dga
tr3tx1v98rv.info,dga
s6wjql.info,dga
rt24km7i5.info,dga
n9q5hj.info,dga
zo2vrm6.info,dga
ju56sy.info,dga
722ko6o1o.info,dga
3qu11ynwwf.info,dga
t8kg6r9o399.info,dga
qf2wjyjjsf.info,dga
m59zrgkzz.info,dga
8n3w15nq.info,dga
9got9imvz92.info,dga
jyl7lnw8.info,dga
k1ttggk.info,dga
7uqf4n.info,dga
x2t4goo46.info,dga
jfhnsjsjfn.info,dga
vz67oormm3v.info,dga
lyl9y5.info,dga
1vr3gt3.info,dga
hqw38yy5l9.info,dga
i2g7oim5rgr.info,dga
fju57ly5.info,dga
i2gxz9x.info,dga
7qjh7f86h8.info,dga
zotroxxk3.info,dga
shulww.info,dga
ig47tto23.info,dga
nl8q5sh4.info,dga
rx5zr3k.info,dga
qsnw6n.info,dga
otxmk5x99.info,dga
lwj6hls7sh.info,dga
655xooz.info,dga
2sl8y5.info,dga
84v9oi9mv3x.info,dga
h2hyu5us.info,dga
io2xkkv.info,dga
l8f87h.info,dga
6m13z5mt7v8.info,dga
fuwuwy4u.info,dga
rt74i9t7oxv.info,dga
n8qqww.info,dga
x1xmtg9z43g.info,dga
f9l9qhwf.info,dga
mg24mt2mr.info,dga
6qshjy.info,dga
rgizzomoz.info,dga
7yy7sj5373.info,dga
3r9oorg21.info,dga
42y9u6hf54.info,dga
m5vz7rkgkii.info,dga
5h2785q8u9.info,dga
1ox5kx57zz3.info,dga
818ul7h4.info,dga
t8v3i3k.info,dga
y2f629n6.info,dga
2mt9rovr8g6.info,dga
8q2suw.info,dga
6kkx4v74v.info,dga
9jn5fqjnlj.info,dga
x2trxx7.info,dga
hhlnuu.info,dga
kiomzgv4g8o.info,dga
qjhhfj.info,dga
4m1z5gm5i.info,dga
lw6hwn8yu9.info,dga
i7g9v4ivi.info,dga
yl6lln.info,dga
xtmi21m.info,dga
47uus7.info,dga
6zo99rk94z7.info,dga
js32lws7n5.info,dga
rrv2i6zvkxt.info,dga
n2uqw5qqf8.info,dga
tirgvmz.info,dga
nw8njyjwwh.info,dga
vgv46rg.info,dga
qf81l922.info,dga
zzzrmrx.info,dga
ws83y448.info,dga
goz3zix.info,dga
lw4yy5unyq.info,dga
mti2zrit3.info,dga
lly5wn.info,dga
tz4ii9t.info,dga
lqnfnsj1.info,dga
itmoo9zxr.info,dga
1hwqjl.info,dga
vom16r2i3.info,dga
fs3hwffw.info,dga
o87t9zt.info,dga
jn25jh2u.info,dga
o7xv457.info,dga
h546luhhjy.info,dga
xx17431v97k.info,dga
qwuj5ww5yj.info,dga
2zog11r.info,dga
7yj2uj1jjj.info,dga
8zzv73x.info,dga
8y1u63hjl2.info,dga
iorio62.info,dga
l3hn83w6.info,dga
mrgm66v3x7t.info,dga
ssy78971.info,dga
oitvvrxv83m.info,dga
j8w8shfq.info,dga
otgv7v6.info,dga
42wl82.info,dga
tv1vzr4.info,dga
7snuhj.info,dga
v41kz83vz.info,dga
yw9unqs411.info,dga
rzi46o5zrzg.info,dga
u136f4w5.info,dga
ozkmtx6kx.info,dga
wy4q7l.info,dga
8m5m6xxrm.info,dga
y9ww7yy2q2.info,dga
6i8v15go5.info,dga
28s3s8.info,dga
gr46okt54t7.info,dga
hfj1hu.info,dga
x6m47gxmi.info,dga
4qyhjj.info,dga
txtgxv2m1.info,dga
jy5n2fhu.info,dga
5m4v9r94xzv.info,dga
jqnfh4jw.info,dga
zttt6ox.info,dga
l9s98f.info,dga
4z8ioo4oo2x.info,dga
246fn4.info,dga
o5k59go.info,dga
h4lu2ssf.info,dga
85671rkm85i.info,dga
s3yyl65y.info,dga
gg3mkmk.info,dga
su1fh7.info,dga
it522i8.info,dga
62flq1sj.info,dga
